RECORD,FOOD,COUNTRY,REGION,COLOR,SEQUENCE
422,TACO,FRANCE,SOUTH,RED,A
423,CHEESEBURGER,FRANCE,SOUTH,BLUE,B
424,BURRITO,FRANCE,SOUTH,GREEN,C
425,CAKE,FRANCE,SOUTH,YELLOW,D
426,CUPCAKE,FRANCE,SOUTH,PURPLE,E
427,STEAK,FRANCE,SOUTH,ORANGE,F
428,HAM,FRANCE,SOUTH,BLACK,A
429,EGGS,FRANCE,SOUTH,WHITE,B
430,PORKCHOP,FRANCE,SOUTH,GRAY,C
431,POTATOES,FRANCE,SOUTH,TEAL,D
432,NOODLES,FRANCE,SOUTH,VIOLET,E
433,HASHBROWNS,FRANCE,SOUTH,BROWN,F
434,PEACHES,FRANCE,SOUTH,RED,A
435,STRAWBERRY,FRANCE,SOUTH,BLUE,B
436,CHICKEN,FRANCE,SOUTH,GREEN,C
437,NUGGET,FRANCE,SOUTH,YELLOW,D
438,PIZZA,FRANCE,SOUTH,PURPLE,E
439,PASTA,FRANCE,SOUTH,ORANGE,F
440,ALFREDO,FRANCE,SOUTH,BLACK,A
441,TACO,FRANCE,SOUTH,WHITE,B
442,CHEESEBURGER,FRANCE,SOUTH,GRAY,C
443,BURRITO,FRANCE,SOUTH,TEAL,D
444,CAKE,FRANCE,SOUTH,VIOLET,E
445,CUPCAKE,FRANCE,SOUTH,BROWN,F
446,STEAK,FRANCE,SOUTH,RED,A
447,HAM,FRANCE,SOUTH,BLUE,B
448,EGGS,FRANCE,SOUTH,GREEN,C
449,PORKCHOP,FRANCE,SOUTH,YELLOW,D
450,POTATOES,FRANCE,SOUTH,PURPLE,E
451,NOODLES,FRANCE,SOUTH,ORANGE,F
452,HASHBROWNS,FRANCE,SOUTH,BLACK,A
453,PEACHES,FRANCE,SOUTH,WHITE,B
454,STRAWBERRY,FRANCE,SOUTH,GRAY,C
455,CHICKEN,FRANCE,SOUTH,TEAL,D
456,NUGGET,FRANCE,SOUTH,VIOLET,E
457,PIZZA,FRANCE,SOUTH,BROWN,F
458,PASTA,FRANCE,SOUTH,RED,A
459,ALFREDO,FRANCE,SOUTH,BLUE,B
460,TACO,FRANCE,SOUTH,GREEN,C
461,CHEESEBURGER,FRANCE,SOUTH,YELLOW,D
462,BURRITO,FRANCE,SOUTH,PURPLE,E
463,CAKE,FRANCE,SOUTH,ORANGE,F
464,CUPCAKE,FRANCE,SOUTH,BLACK,A
465,STEAK,FRANCE,SOUTH,WHITE,B
466,HAM,FRANCE,SOUTH,GRAY,C
467,EGGS,FRANCE,SOUTH,TEAL,D
468,PORKCHOP,FRANCE,SOUTH,VIOLET,E
469,POTATOES,FRANCE,SOUTH,BROWN,F
470,NOODLES,FRANCE,SOUTH,RED,A
471,HASHBROWNS,FRANCE,SOUTH,BLUE,B
472,PEACHES,FRANCE,SOUTH,GREEN,C
473,STRAWBERRY,FRANCE,SOUTH,YELLOW,D
474,CHICKEN,FRANCE,SOUTH,PURPLE,E
475,NUGGET,FRANCE,SOUTH,ORANGE,F
476,PIZZA,FRANCE,SOUTH,BLACK,A
477,PASTA,FRANCE,SOUTH,WHITE,B
478,ALFREDO,FRANCE,SOUTH,GRAY,C
479,TACO,FRANCE,SOUTH,TEAL,D
480,CHEESEBURGER,FRANCE,SOUTH,VIOLET,E
481,BURRITO,FRANCE,SOUTH,BROWN,F
482,CAKE,FRANCE,SOUTH,RED,A
483,CUPCAKE,FRANCE,SOUTH,BLUE,B
484,STEAK,FRANCE,SOUTH,GREEN,C
485,HAM,FRANCE,SOUTH,YELLOW,D
486,EGGS,FRANCE,SOUTH,PURPLE,E
487,PORKCHOP,FRANCE,SOUTH,ORANGE,F
488,POTATOES,FRANCE,SOUTH,BLACK,A
489,NOODLES,FRANCE,SOUTH,WHITE,B
490,HASHBROWNS,FRANCE,SOUTH,GRAY,C
491,PEACHES,FRANCE,SOUTH,TEAL,D
492,STRAWBERRY,FRANCE,SOUTH,VIOLET,E
493,CHICKEN,FRANCE,SOUTH,BROWN,F
494,NUGGET,FRANCE,SOUTH,RED,A
495,PIZZA,FRANCE,SOUTH,BLUE,B
496,PASTA,FRANCE,SOUTH,GREEN,C
497,ALFREDO,FRANCE,SOUTH,YELLOW,D
498,TACO,FRANCE,SOUTH,PURPLE,E
499,CHEESEBURGER,FRANCE,SOUTH,ORANGE,F
500,BURRITO,FRANCE,SOUTH,BLACK,A
501,CAKE,FRANCE,SOUTH,WHITE,B
502,CUPCAKE,FRANCE,SOUTH,GRAY,C
