RECORD,FOOD,COUNTRY,REGION,COLOR,SEQUENCE
424,BURRITO,FRANCE,SOUTH,GREEN,C
436,CHICKEN,FRANCE,SOUTH,GREEN,C
448,EGGS,FRANCE,SOUTH,GREEN,C
460,TACO,FRANCE,SOUTH,GREEN,C
472,PEACHES,FRANCE,SOUTH,GREEN,C
484,STEAK,FRANCE,SOUTH,GREEN,C
496,PASTA,FRANCE,SOUTH,GREEN,C
508,NOODLES,FRANCE,SOUTH,GREEN,C
520,CAKE,FRANCE,SOUTH,GREEN,C
532,NUGGET,FRANCE,SOUTH,GREEN,C
544,PORKCHOP,FRANCE,SOUTH,GREEN,C
556,CHEESEBURGER,FRANCE,SOUTH,GREEN,C
568,STRAWBERRY,FRANCE,SOUTH,GREEN,C
580,HAM,FRANCE,SOUTH,GREEN,C
592,ALFREDO,FRANCE,SOUTH,GREEN,C
604,HASHBROWNS,FRANCE,SOUTH,GREEN,C
616,CUPCAKE,FRANCE,SOUTH,GREEN,C
628,PIZZA,FRANCE,SOUTH,GREEN,C
640,POTATOES,FRANCE,SOUTH,GREEN,C
652,BURRITO,FRANCE,SOUTH,GREEN,C
664,CHICKEN,FRANCE,SOUTH,GREEN,C
676,EGGS,FRANCE,SOUTH,GREEN,C
688,TACO,FRANCE,SOUTH,GREEN,C
700,PEACHES,FRANCE,SOUTH,GREEN,C
712,STEAK,FRANCE,SOUTH,GREEN,C
724,PASTA,FRANCE,SOUTH,GREEN,C
736,NOODLES,FRANCE,SOUTH,GREEN,C
748,CAKE,FRANCE,SOUTH,GREEN,C
760,NUGGET,FRANCE,SOUTH,GREEN,C
772,PORKCHOP,FRANCE,SOUTH,GREEN,C
